token_address,from_address,to_address,value,transaction_hash,log_index,block_number
0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0x2779bae0b0c699c49194a0f29b959408a83ee42b,0x916ed5586bb328e0ec1a428af060dc3d10919d84,641194580000000000,0xd5c9ee6f5616a5b0387a694bf8370b7c03eca095a5b6cb0ce8a7d25d02994cc7,85,13131315
0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0xd1f0b2018c1b7056c1301877b080dcb8e3c3390a,0xa6aac20c2f51101a92a01e28c8da87927677f9cc,1174000000000000000,0xca0144e33c711a9b909345f12212bda309afe38f2f73cace033071286c815521,62,13131320
