day,num_evm_tx,num_mevblocker_tx,tx_proportion
2023-07-13 00:00:00.000 UTC,1121269,60703,5.413776711921939
2023-04-28 00:00:00.000 UTC,987649,22561,2.284313556739287
2023-06-07 00:00:00.000 UTC,1071257,41635,3.8865557004528326
2023-05-10 00:00:00.000 UTC,1086375,51041,4.698285582786791
2023-05-24 00:00:00.000 UTC,1054823,52961,5.02084235933422
2023-07-09 00:00:00.000 UTC,954379,60344,6.322854966423193
2023-06-11 00:00:00.000 UTC,1106073,23226,2.099861401553062
2023-05-09 00:00:00.000 UTC,1126707,48692,4.32162043903162
2023-05-28 00:00:00.000 UTC,968996,53832,5.555440889332877
2023-07-26 00:00:00.000 UTC,1029348,61983,6.021578708075403
2023-06-24 00:00:00.000 UTC,1004563,33546,3.3393624889628626
2023-06-26 00:00:00.000 UTC,996984,33951,3.4053705977227318
2023-05-06 00:00:00.000 UTC,1145565,46053,4.020112346309463
2023-06-18 00:00:00.000 UTC,1001818,37905,3.783621376337818
2023-07-29 00:00:00.000 UTC,991161,57162,5.767176069276333
2023-04-27 00:00:00.000 UTC,939262,9620,1.0242083678462452
2023-07-14 00:00:00.000 UTC,1110332,50164,4.51792797109333
2023-05-26 00:00:00.000 UTC,1059510,49869,4.706798425687346
2023-06-27 00:00:00.000 UTC,1067370,39498,3.700497484471177
2023-07-17 00:00:00.000 UTC,1036419,60821,5.8683794874466795
